entire lamina septum pellucidum	gehele lamina septi pellucidi
infection by Pseudoterranova	parasitaire infectieziekte door genus Pseudoterranova
MRI of petrous bones	MRI van rotsbeen
skin structure of fifth toe	structuur van huid van digitus V van voet
thrombosis of transverse sinus	trombose van sinus transversus
premature rupture of membranes	prematuur gebroken vliezen
intra-abdominal foreign body left inside at operation	corpus alienum achtergelaten tijdens operatie in regio intraabdominalis
autosomal recessive spastic paraplegia type 15	SPG15
ultrasonography of elbow	echografie van elleboog
procedure stopped before completion	verrichting stopgezet voor voltooiïng
cavernous vein of penis	verwijde ader van penis
percutaneous insertion of catheter into portal vein	percutaan inbrengen van katheter in poortader
structure of wall of thoracic aorta	structuur van wand van thoracale aorta
congenital anomaly of thyroid cartilage	congenitale afwijking van cartilago thyroidea
caecum biopsy sample	biopt van caecum
thyrotoxic tremor	thyrotoxische tremor
old operative site	oud operatiegebied
alveolar macrophage	macrophagocytus alveolaris
recombinant human granulocyte macrophage colony stimulating factor	recombinante menselijke granulocyten-macrofagenstimulerende factor
ammonium hexachloroplatinate	ammoniumhexachloorplatinaat
deep inguinal lymph node group	nodi lymphoidei inguinales profundi
plasma factor VIII related antigen test	testen op factor VIII-gerelateerd antigeen in plasma
dental mandrel	tandheelkundige mandrel
accidental sulfafurazole poisoning	accidentele intoxicatie door sulfafurazol
thalassemia in mother complicating pregnancy	thalassemie bij moeder als complicatie tijdens zwangerschap
revision of shoulder arthroplasty	revisie van artroplastiek van schouder
phenoperidine overdose	overdosis fenoperidine
vitreous floaters	glasvochttroebeling
defective maxillary overdenture	defecte overkappingsprothese van maxilla
burn involving 5% of body surface	brandwond met 5% totaal verbrand lichaamsoppervlak
gingival disease co-occurrent and due to lupus erythematosus	gingivale ziekte coöccurrent met en als gevolg van lupus erythematosus
surgical irrigation/aspiration handpiece control valve	regelklep van handvat voor chirurgische irrigatie en/of aspiratie
erythrocytosis due to autotransfusion	polycytemie door autologe transfusie
chiari osteotomy for congenital deformity of hip	chiariosteotomie voor een congenitale heupaandoening
qualitative methemoglobin measurement	kwalitatief bepalen van methemoglobine
maternal death - perinatal	perinatale moedersterfte
open fracture dislocation of proximal interphalangeal joint	open luxatiefractuur van articulatio interphalangealis proximalis
local anaesthetic axillary compartment block	blokkade van zenuw in regio axillaris
cut of thumb	snijwond van digitus I van hand
salmonella enterica subsp. enterica ser. Langford	Salmonella enterica subspecies enterica serovar Langford
gaze up and left	naar boven en naar links kijken
allergy to fosfestrol	allergie voor fosfestrol
fixation of retina	retinopexie
thickened fluid	verdikte vloeistof
fluoroscopic angiography of inferior mesenteric artery using contrast with insertion of drug eluting stent	contrastangiografie van arteria mesenterica inferior met plaatsing van 'coated stent' onder doorlichting
^201^Thallium	^201^Tl
provision of ancillary low vision aid	leveren van aanvullend 'low vision aid'
referral to fertility clinic	verwijzen naar vruchtbaarheidskliniek
open wound of loin	open wond van oppervlak van lende
ligament of radiocarpal joint	radiocarpale band
description type	soort beschrijving
structure of medial part of lower limb	mediaal gedeelte van onderste extremiteit
accidental thiethylperazine poisoning	accidentele intoxicatie door thiëthylperazine
repair of dura of anterior fossa of cranium	operatief herstel van hersenvlies van fossa cranii anterior
biopsy of lesion of skin of neck	biopsie van laesie van huid van hals en/of nek
function sensory perception	functie zintuiglijke waarneming
romany language	Romaanse taal
amaurosis fugax	amaurosis fugax
myositis ossificans associated with dermato / polymyositis	myositis ossificans geassocieerd met dermatomyositis en/of polymyiositis
anaesthesia for chemonucleolysis	anesthesie voor chemonucleolyse
selective decontamination of the digestive tract	selectieve decontaminatie van tractus digestivus
foreign body of eye region	corpus alienum in regio ocularis
salmonella IIIa 62:z29:-	Salmonella IIIa 62:z29:-
swelling of tonsil	zwelling van tonsil
does not drink from a bottle	drinkt niet uit een fles
history of perinatal convulsion	neonatale convulsies in anamnese
eleventh cranial nerve nucleus	kern van elfde hersenzenuw
assessment using Comprehensive Assessment of At-risk Mental States	evaluatie met 'Comprehensive Assessment of At-Risk Mental States'
ganglioside antibody	ganglioside-antilichaam
entire lamina propria of sphenoid sinus	gehele lamina propria van wiggenbeenholte
facial bone foreign body removed	corpus alienum uit aangezichtsbeenderen verwijderd
plasma chromogranin A measurement	bepalen van chromogranine A in plasma
overdose of carbamazepine of undetermined intent	overdosis carbamazepine met onbekende intentie
indicator dilution flow measurement	bepalen van bloedflow met kleurstofverdunning
french Guiana	Frans-Guyana
superior articular facet of axis	structuur van facies articularis superior van wervel C2
pleura, pericardial surgical margin which is involved by tumour	snijvlak van pleura bij pericard niet vrij van tumor
calcification and ossification of muscle of forearm due to burn	verkalking en ossificatie van de onderarmspieren door verbranding
ensifer medicae	Ensifer medicae
change of suprapubic catheter	vervangen van suprapubische katheter
medication Reconciliation	medicatiebemiddeling
negative pressure pulmonary oedema	postobstructief longoedeem
repositioning of corneal flap	repositioneren van corneale lap
neonatal flotation therapy bed	bed voor flotatietherapie voor neonaat
entire long bone	geheel os longum
childhood disintegrative disorder	desintegratiestoornis op kinderleeftijd
on examination - temperature not taken	temperatuurmeting niet uitgevoerd
preceptoring: student	praktijkbegeleiding van student
commode	toiletstoel
unable to use grammatical constructions	kan geen grammaticale constructies gebruiken
shire horse	Gouwpaard
benign neoplasm of blood vessel of axilla	benigne neoplasma van bloedvat van regio axillaris
entire splenic lymph node	gehele nodus lymphaticus splenicus
caffeine overdose of undetermined intent	overdosis cafeïne met onbepaalde intentie
clobetasone	clobetason
deformity of mandibular condyle	deformiteit van processus condylaris mandibulae
laceration of airway	laceratie van structuur van luchtwegen
acute lower gastrointestinal bleeding	acute lagere gastro-intestinale bloeding
order Spirurida	bestel Spirurida
eurycotis floridana	Eurycotis floridana
contact dermatitis due to hydrocarbon	contacteczeem door koolwaterstof
product containing only dimethyl fumarate	product dat alleen dimethylfumaraat bevat
skin of coccygeal region	huid van coccygeaal gebied
genus Arenibacter	genus Arenibacter
cystic tumor of atrio-ventricular node	cysteus neoplasma van nodus atrioventricularis
introduction of prosthesis	inbrengen van prothese
laminated membrane coating granule	lamellair lichaampje
percutaneous embolisation of ovarian vein using fluoroscopic guidance	percutane embolisatie van vena ovarica onder doorlichting
transrectal biopsy of prostate using ultrasound guidance	echogeleide transrectale biopsie van prostaat
checking - action	controleren
analogue behavioural assessment	analoge evaluatie van gedrag
acellular pertussis and polio vaccination third diphtheria, tetanus	derde vaccinatie met difterie-acellulair kinkhoest-tetanus-poliovaccin
subperiosteum	structuur onder periost
revision of internal cardiac defibrillator lead using fluoroscopic guidance	revisie van ICD-draad onder doorlichting
warm-bonded endodontic obturation system	warmtegeleidend endodontisch obturatiesysteem
reduction mammoplasty superior pedicle technique	reductiemammoplastiek met superieure pedikel
genus Halanaerobium	genus Halanaerobium
entire head of stapes	gehele caput stapedis
allergic reaction after allergen immunotherapy	allergische reactie na allergeen-immunotherapie
intraoperative fluoroscopic angiography of thoracic aorta with insertion of fenestrated tapered stent graft	intraoperatieve angiografie van thoracale aorta met plaatsing van gefenestreerde conische endoprothese onder röntgendoorlichting
benign neoplasm of bronchus of right middle lobe	benigne neoplasma van rechter middenkwab
congenital absence of alimentary tract	congenitale afwezigheid van spijsverteringskanaal
inferior lumbar trigone	structuur van trigonum lumbale inferius
autosomal recessive spastic paraplegia type 45	autosomaal recessieve spastische paraplegie type 65
structure of left ulnar nerve at elbow	structuur van linker nervus ulnaris ter hoogte van elleboog
acting obstetric registrar	waarnemend verloskundearts in opleiding
raoultibacter timonensis	Raoultibacter timonensis
insertion of posterior muscle of thigh	structuur van insertie van posterieure spier van bovenbeen
foreign body in auricle	corpus alienum in auricula
PEG 400	PEG-400
eyelid burn	brandwond van ooglid
salmonella enterica subsp. enterica ser. Narashino	Salmonella enterica subspecies enterica serovar Narashino
diabetic cataract	diabetisch cataract
type attribute R - S	typekenmerk R - S
medicament	geneesmiddel
reusable external defibrillator electrode, pediatric	herbruikbare elektrode voor externe defibrillator voor kind
abnormal waves II through V of brainstem auditory evoked potential	afwijkende piek II tot en met V van 'brainstem-evoked auditory potential'
arthroscopic irrigation of knee joint	artroscopische irrigatie van articulatio genus
structure of renal area of posterior abdominal wall	renaal gebied van posterieure wand van abdomen
replacement of transvenous atrial and ventricular pacemaker electrode leads	vervangen van transveneuze atriale en ventriculaire elektrodedraden van pacemaker
primary malignant neoplasm of thoracic oesophagus	primaire maligniteit van thoracale deel van oesofagus
tendon structure	structuur van pees
entire collateral ligament of metacarpophalangeal joint of middle finger	geheel ligamentum collaterale van articulatio metacarpophalangea van digitus manus III
with perforation and with obstruction gastric ulcer with hemorrhage	met perforatie en met obstructie maagulcus met bloeding
dental x-ray film which is non-screen	tandheelkundige röntgenfilm voor gebruik zonder scherm
polysomatising disorder	polysomatiserende aandoening
stathmonotus stahli	Stathmonotus stahli
type II osteogenesis imperfecta	OI type 2
booster meningitis C vaccination	boostervaccinatie tegen Neisseria meningitidis C
gamma camera system gantry	onderstel voor gammacamerasysteem
microscopic examination of bacterial smear of specimen from urethra	microscopisch onderzoek van bacteriële uitstrijkjes uit de urinebuis
line-powered continuous electronic patient thermometer	continue elektronische thermometer voor patiënt op netvoeding
injury of seminal vesicle with open wound into abdominal cavity	letsel van zaadblaasje met open wond naar buikholte
nightmares associated with chronic post-traumatic stress disorder	nachtmerries bij chronische PTSS
proximal hamstring recession	recessie van proximale hamstring
dilatation of urethral meatus	dilatatie van meatus urinarius
structure of second intercostal space	structuur van tweede intercostale ruimte
structure of right intervertebral vein at L1	structuur van rechter vena intervertebralis ter hoogte van vertebra lumbalis I
tunica vaginalis involved by direct extension of malignant neoplasm	tunica vaginalis betrokken door directe uitbreiding van kwaadaardig neoplasma
termination of pregnancy inpatient care management	management van intramurale zorg voor afbreken van zwangerschap
increased turbidity	verhoogde turbiditeit
structure of anterior myocardium	structuur van myocard van voorwand van hart
needle biopsy of lesion of lung	naaldbiopsie van laesie van long
thumb reconstructed	reconstructie van digitus I van hand uitgevoerd
purulent sputum	purulent sputum
brain injury	cerebraal letsel
vascular structure of pelvic organ	structuur van bloedvat van bekkenorgaan
manual reduction of closed dislocation of distal radioulnar joint	manuele reductie van gesloten luxatie van distaal radio-ulnair gewricht
weber tuning fork test	lateralisatietest met beengeleider
eyes sensitive to light	lichtgevoelige ogen
sausage	worst
structure of infrapatellar fat pad	structuur van corpus adiposum infrapatellare
genus Helicobacter	genus Helicobacter
merkel cell carcinoma of face	Merkelcel-carcinoom van facies
entire joint of shoulder girdle	gehele articulatio cingulum membri superioris
destruction of tissue of diaphragm	destructie van diafragma
candida haemulonii	Candida haemulonii
orthopedic bone wire traction connector	connector voor botdraad voor orthopedische tractie
proctoscopy through stoma	proctoscopie via stoma
antifungal antibiotic overdose	overdosis van antimycoticum
biopsy of facial bone	biopsie van ossa faciei
genus Antarctobacter	genus Antarctobacter
chronic irritant contact dermatitis	chronisch irritatief contacteczeem
arthrotomy for infection with removal of foreign body of carpometacarpal joint	artrotomie met verwijderen van corpus alienum uit articulatio carpometacarpea vanwege infectie
flexibacter tractuosus	Marivirga tractuosa
allergy to framycetin	allergie voor framycetine
manipulation of accessory sinus	manipulatie van neusbijholte
hepatitis C screening declined	hepatitis C-screening afgenomen
enoxacin	enoxacine
percutaneous transluminal balloon angioplasty with insertion of stent into femoral artery	PTA met insertie van stent in arteria femoralis
enamel	tandglazuur
sterile epidermal osmotic dressing	steriele epidermale zalf
myometrial invasion by tumour absent	afwezigheid van invasie van myometrium door neoplasma
left dorsalis pedis doppler pressure	bloeddrukmeting van linker arteria dorsalis pedis met Doppler-apparaat
congenital malformation of palate	congenitale misvorming van gehemelte
prolapse of left eye co-occurrent with laceration	prolaps van linker oog gelijktijdig met laceratie
entire superior gluteal artery	gehele arteria glutea superior
induction of labour by intravenous drip	inleiden van partus via druppelinfuus
angiography of arteries of right upper limb	angiografie van slagaders van rechter arm
advice about failure risk of drug treatment	voorlichten over risico op falen van behandeling met geneesmiddel
lymphocyte positive for CD48 antigen	CD48-positieve lymfocyt
taking cough swab	afname van uitstrijk met swab bij ophoesten van sputum
open wound of throat	wond van anterieur gedeelte van hals
structure of tectorial membrane	membraan van Corti
encephalopathy caused by mercury	encefalopathie door kwikintoxicatie
polydactylus octonemus	Polydactylus octonemus
gonyaulax	Gonyaulax
anaesthesia for colpotomy	verdoving voor coleotomie
laceration of left little finger	laceratie van digitus V van linker hand
poisoning by levothyroxine sodium	intoxicatie door levothyroxinenatrium
allergic contact dermatitis caused by drug in contact with skin	medicatiegeïnduceerd allergisch contacteczeem
subfascial ligation of perforating vein of leg	subfasciale ligatie van perforerende vene van onderste extremiteit
excision of lesion of urethra	excisie van afwijkend weefsel van urethra
entire heel	gehele calx
bacillus tusciae	bacillus tusciae
friend of subject	vriend of vriendin van zorgafnemer
intramural hematoma	intramuraal hematoom
polystyrene sulphonate	polystyreensulfonaat
acute osteomyelitis of jaw	acute osteomyelitis van kaak
femoral mononeuropathy with diabetes mellitus	mononeuropathie van nervus femoralis gelijktijdig met en door diabetes mellitus
post-cerebrovascular accident epilepsy	epilepsie na cerebrovasculair accident
skeletal dysplasia with intellectual disability syndrome	X-gebonden syndroom met skeletdysplasie en verstandelijke beperking
chilomastix mesnili cyst and trophozoite	aanwezigheid van cyste en trofozoïet van Chilomastix mesnili
acetabular labrum tear	ruptuur van labrum acetabulare
non-involution	non-involutie
marking of skin using ultrasound guidance	markeren van huid onder echogeleide
entire radial nerve region	geheel gebied van nervus radialis
infection caused by Mycobacterium diernhoferi	infectieus proces door Mycobacterium diernhoferi
superior tracheobronchial lymph node	bovenste tracheobronchiale lymfeklier
secondary malignant neoplasm of larynx	secundair maligne neoplasma van larynx
at risk of ulcer of left foot due to diabetes mellitus	met risico op zweren van de linkervoet als gevolg van diabetes mellitus
entire lumen of ureter	gehele lumen van ureter
teardrop fracture of cervical vertebra	'teardrop'-fractuur van cervicale wervel
pyrazole derivative	pyrazoolderivaat
ionising radiation steriliser	ioniserende stralingssterilisator
chronic familial neutropenia	chronische familiaire neutropenie
closed fracture of angle of right mandible	gesloten fractuur van rechter kaakhoek
genus Rubrobacter	genus Rubrobacter
x-linked corneal dermoid	X-gebonden corneaal dermoïd
sodium molybdate dihydrate	natriummolybdaat-dihydraat
entire transverse ligament of atlas	gehele ligamentum transversum atlantis
lives with wife	woont met echtgenote
non-invasive mean arterial pressure	niet-invasieve gemiddelde arteriële druk
electroencephalographic procedure	elektro-encefalografische verrichting
methanothermus fervidus	Methanothermus fervidus
domestic dry carpet sweeping assistive device	aangepaste rolveger voor huishoudelijk gebruik
superficial partial thickness burn of knee	oppervlakkige tweedegraads brandwond van knieregio
weightlifter striae	gewichtheffersstriae
carpal tunnel release instrument	instrument voor verruiming van carpale tunnel
right upper lobe anterior segmental bronchus	anterior segmentbronchus van bovenkwab van rechterlong
congenital anomaly of ear with impairment of hearing	aangeboren misvorming van oor met gehoorverlies
transcarboxylase	transcarboxylase
injection of contrast media for dacryocystography	injectie van contrast voor röntgenonderzoek van lacrimaal afvoersysteem
b mode ultrasound	B-mode-echografie
rheumatoid arthritis of temporomandibular joint	reumatoïde artritis van kaakgewricht
heart failure as a complication of care	hartfalen als complicatie van zorg
abscess of toe	abces van teen
benign neoplasm of skin of eyebrow	benigne tumor van huid van wenkbrauw
destructive procedure on lower leg	destructie van onderbeen
superficial peroneal nerve block	blokkade van nervus fibularis superficialis
insertion of permanent superior vena cava filter using fluoroscopic guidance	insertie van permanent filter in vena cava superior onder röntgendoorlichting
congenital flat back deformity	congenitale deformiteit met platte rug
entire left common carotid artery	gehele arteria carotis communis sinistra
entire articular facet of second metatarsal	geheel gewrichtsfacet van os metatarsale II
white matter disorder caused by infection	aandoening van witte stof van hersenen door infectieziekte
roller home shiatsu instrument	rolschaatsinstrument voor thuisgebruik
compression hosiery class II below knee stocking flatbed knit made to measure	compressiekous klasse II onder kniekous platbed op maat gebreid
accident due to liquid hydrogen	ongeval door vloeibare waterstof
international Federation of Gynecology and Obstetrics cervical cancer stage III	Internationale Federatie voor Gynaecologie en Verloskunde baarmoederhalskanker fase III
carcinoma of spinal cord	carcinoom van myelum
hepatic vein thrombosis	trombose van vena hepatica
intracranial hemorrhage following injury with intracranial wound AND moderate loss of consciousness (1-24 hours)	intracraniële bloeding na letsel met open intracraniële wond en 1-24 uur bewustzijnsverlies
bone structure of right tibia	rechter tibia
lymphatic system injection	injectie in lymfestelsel
disease caused by Phlebovirus	infectie door Phlebovirus
anterior cruciate ligament complete tear, knee	volledige ACL-ruptuur
foot pain	pijn in voet
pediatric cardiology clinic	cardiologiecentrum voor kinderen
oesophagogastroduodenoscopy with insertion of guide wire and dilation of oesophagus	oesofagogastroduodenoscopie met insertie van voerdraad en dilatatie van oesofagus
entire external oblique aponeurosis	gehele aponeurose van musculus obliquus externus abdominis
GM2 gangliosidosis	GM2-gangliosidose
paenibacillus urinalis	Paenibacillus urinalis
chaetomium irregulare	Chaetomium irregulare
vitreous pigment cells	pigmentcellen in glasachtig lichaam
nocardiopsis salina	Nocardiopsis salina
replacement of tooth with removable partial denture	vervangen van gebitselement door uitneembare partiële gebitsprothese
glycomyces algeriensis	Glycomyces algeriensis
non-sterile armrest/arm support cover	niet steriel armleuning/armsteunhoes
prosthetic hemiarthroplasty of the shoulder	prosthetische hemiarthroplastiek van de schouder
product containing only clioquinol in cutaneous dose form	product dat enkel clioquinol in cutane vorm bevat
decompression of thoracic spine	operatieve decompressie van TWK
doppler ultrasonography of bilateral lower extremity blood vessels	duplexonderzoek van bloedvaten van linker en rechter onderste ledemaat
poisoning by ingestion of fish contaminated by environmental toxin	vergiftiging door inslikken van met milieugif besmette vis
removal of implant of left breast	verwijderen van implantaat uit linker borst
neisseria animaloris	Neisseria animaloris
creation of shunt from ascending aorta to right pulmonary artery using interposition tube prosthesis	aanleggen van shunt met buisprothese als interpositie tussen aorta ascendens en arteria pulmonalis dextra
clavibacter michiganensis nebraskensis	Clavibacter nebraskensis
quantitative measurement of substance rate ratio of pyridinoline to creatinine in 24 hour urine specimen	kwantitatief bepalen van pyridinoline/creatinine-ratio in 24-uursurine
education officer	onderwijsambtenaar
kalmia angustifolia	Kalmia angustifolia
local perfusion of kidney	lokale perfusie van nier
metastasis from malignant tumour of pancreas	gemetastaseerd maligne neoplasma van pancreas
carvedilol therapy	carvediloltherapie
zona reticularis of adrenal gland	zona reticularis van glandula suprarenalis
removal of foreign body from vitreous with use of magnet	chirurgisch verwijderen van corpus alienum van corpus vitreum door magneetextractie
non-mucoid Pseudomonas aeruginosa	niet-mucoïde Pseudomonas aeruginosa
weekend visit	weekendbezoek
product containing zinc	product dat zink bevat
percutaneous transluminal injection of therapeutic substance into coronary artery	percutane transluminale injectie van geneesmiddel in kransslagader
metastatic malignant neoplasm to third cuneiform bone of foot	metastase in os cuneiforme tertium
finding of passive range of elbow supination	bevinding betreffende ROM bij passieve supinatie van elleboog
genus Quinella	genus Quinella
gouty bursitis	bursitis door jicht
closed fracture of shoulder blade	gesloten fractuur van schouderblad
massilia kyonggiensis	Massilia kyonggiensis
fall from bench	val van bank
medical pathologist	klinisch patholoog
sphenopalatine artery	arteria sphenopalatina
brachydactyly, short stature which is retinitis pigmentosa syndrome	kleine gestalte en retinitis pigmentosa syndroom van brachydactylie
acquired plantar keratoderma	verworven plantaire keratodermie
tendon of toe	pees van teen
superior articular process of third cervical vertebra	processus articularis superior van wervel C3
acquired gastric fistula	verworven fistel van maag
old posterolateral capsular complex tear	posterolateraal kapselcomplex
finding of movement of foot	bevinding betreffende beweging van voet
surgical reduction of torsion of testis with orchiopexy	chirurgische reductie van torsie van testis met orchidopexie
choroidal invasion stage C0 in retinoblastoma	choroidale invasiefase C0 in retinoblastoom
corriparta virus	Corriparta-virus
exhaled air specimen	uitgeademde lucht
oral steroid-dependent asthma	oraal-steroïdafhankelijk astma
fluoroscopy of regions	fluoroscopie van lichaamsgebied
fibreoptic endoscopic coagulation of haemorrhage of upper gastrointestinal tract	fiberoptische endoscopische coagulatie van bloeding in bovenste deel van maag-darmkanaal
thymus leukaemia antigen	thymus leukemie-antigeen
disorder of female perineum	aandoening van perineum van vrouw
local application of haemostyptics onto duodenal lesion	plaatselijke applicatie van adstringens op laesie van duodenum
amoebiasis	amoebiase
family history of coronary arteriosclerosis	coronaire arteriosclerose in familieanamnese
gastrointestinal contents	gastro-intestinale inhoud
abdominal injury	traumatisch letsel van abdomen
polygonum	genus Polygonum
patient not seen for more than five years	patiënt al meer dan vijf jaar niet meer gezien
priming solution cardiopulmonary bypass system filter	filter voor primingvloeistof voor cardiopulmonaal bypasscircuit
dangerous environment	gevaarlijke omgeving
benign connective tissue neoplasm	benigne neoplasma van bindweefsel
second degree burn of palmar area of right hand	tweedegraads brandwond van palmaire zijde van rechter hand
cevadine	cevadine
borrelia microti	Borrelia microti
streptococcal toxic shock syndrome	toxic shock-like syndrome
entire gluteal lymph node	gehele nodus lymphaticus glutealis
intentional acetylcholine overdose	opzettelijke overdosis acetylcholine
superior articular process of fourth lumbar vertebra	processus articularis superior van vertebra lumbalis IV
product containing precisely prednisolone 25 milligram/1 each conventional release oral tablet	product dat precies prednisolon bevat 25 milligram/1 elke conventionele orale tablet met afgifte
slap mark	afdruk van klap
diaphysis prosthesis	prothese voor diafyse
superficial lymphadenopathy	lymfadenopathie van oppervlakkige nodus lymphoideus
rhinometer/Rhinomanometer	rhinometer/Rhinomanometer
left hepatic trisegmentectomy	linker hepatische trisegementectomie
intentional flurazepam overdose	opzettelijke overdosis door flurazepam
infant feeding bottle	zuigelingenfles
linum species poisoning	linumvergiftiging
entire posterior middle third of oesophagus	geheel posterieur middelste derde deel van oesofagus
entire facial nerve motor branch	gehele motorische tak van nervus facialis
anaesthesia for procedure on pelvis	anesthesie voor verrichting aan bekken
plethysmograph waveform	golfvorm van de plethysmograaf
organelle	organel
adverse reaction to pivampicillin and/or pivmecillinam	bijwerking van pivampicilline en/of pivmecillinam
recurrent irreducible left inguinal hernia	recidiverende niet-reponeerbare linker hernia inguinalis
outflow tract abnormality in solitary indeterminate ventricle	afwijking van uitstroombaan van solitair ventrikel van niet beschreven vorm
german Spitz dog	Duits Spitzhondenras
removal of neurostimulator of peripheral nerve	verwijderen van een perifere zenuwstimulator
pasteurella caballi	Pasteurella caballi
familial alpha>2< adrenergic receptor defect in platelets	familiair alfa-2-adrenerge-receptordefect in trombocyten
structure of calvaria	structuur van calvaria
augmentation osteoplasty of facial bones	augmentatie van faciaal bot
bottle feeding stopped	flesvoeding gestopt
entire nervus intermedius	gehele nervus intermedius
salmonella enterica subsp. enterica ser. Bracknell	Salmonella enterica ssp. enterica ser. Bracknell
disorder of beta and omega amino acid metabolism	stoornis van metabolisme van bèta-aminozuren en omega-aminozuren
human adenovirus 44	humaan adenovirus 44
thysanascaris	Thysanascaris
injury of bursa of elbow	letsel van bursa van elleboog
trabeculated shoulder humeral stem prosthesis	humerussteelcomponent van prothese van schouder met trabekels
body of caudate nucleus	lichaam van de nucleus caudatus
tenolysis of extensor tendon of forearm	adhesiolyse van pees van strekspier van onderarm
percutaneous aspiration thrombectomy of dialysis fistula using fluoroscopic guidance	percutane aspiratie van trombus in dialyseshunt onder röntgendoorlichting
sulfadimethoxine adverse reaction	bijwerking van sulfadimethoxine
product containing precisely atropine sulfate 400 microgram/1 milliliter conventional release solution for injection	product dat precies atropinesulfaat bevat 400 microgram/1 milliliter conventionele vrijgaveoplossing voor injectie
xanthoma tendinosum	tendineus xanthoom
salivary vulvitis	speeksel vulvitis
mahogony dust	stof van mahoniehout
first degree burn of ankle	eerstegraads brandwond van enkel
streptococcus pneumoniae serotype 11B	Streptococcus pneumoniae serotype 11B
entire skin of second toe	gehele huid van digitus pedis II
knowledge level: personal safety	kennisniveau: persoonlijke veiligheid
interphalangeal joint structure	interfalangeaal gewricht
nitrosospira briensis	Nitrosospira briensis
finding addressing invasion of sclera by tumour	bevinding betreffende ingroei van tumor in harde oogrok
trephine biopsy	biopsie door middel van trepanatie
entire volar plate of distal interphalangeal joint of finger	exclusief duim gehele volaire plaat van distaal interfalangeaal gewricht van vinger
reconstruction of lip with nasolabial flap	reconstructie van lip met nasolabiale lap
superficial partial thickness burn of buttock	oppervlakkige tweedegraads brandwond van regio glutealis
removal of surgically implanted extraocular implant from posterior segment of eye	verwijderen van operatief geïmplanteerd extraoculair implantaat uit achterste oogbolsegment
family poaceae poisoning	intoxicatie door familie Poaceae
rotary blade angioplasty	vaatplastiek met rotablator
46 which is XX true hermaphrodite	ovotesticulaire geslachtsontwikkelingsstoornis met 46,XX-karyotype
redline alert test	redline-waarschuwingstest
ranibizumab-induced uveitis	ranibizumabgeïnduceerde uveïtis
notocotylus attenuatus	Notocotylus attenuatus
digestive system reflux	reflux in tractus digestivus
desulfotomaculum sapomandens	Desulfallas sapomandens
ligation of peritoneal venous shunt	ligatie van LeVeen-shunt
dusting powders adverse reaction	afstofpoeders bijwerking
human immunodeficiency virus infection with infectious mononucleosis-like syndrome	infectie door humaan immunodeficiëntievirus met mononucleosisachtig syndroom
embezzlar	verduisteraar
gastric ulcer caused by fungus	ulcus ventriculi door schimmel
myocardial dysfunction	disfunctie van myocard
foetal heart failure with redistribution of cardiac output	foetaal hartfalen met redistributie van 'cardiac output'
effects of occupational exposure to radiation	effect van beroepsgebonden blootstelling aan straling
entire base of phalanx of thumb	gehele basis van falanx van digitus I van hand
calyceal fistula	fistel van calyx renalis
clipping of vein	clippen van vene
interferometric corneal topography	corneatopografie door interferometer
zosterops lateralis	Zosterops lateralis
complete lesion of spinal cord at eighth thoracic level	complete laesie van achtste thoracale segment van ruggenmerg
lumbar portion of sympathetic nervous system	lumbaal gedeelte van sympathisch zenuwstelsel
extensor carpi radialis muscle tendon sheath	vagina tendinis van musculus extensor carpi radialis
dysfunction of eustachian tube	disfunctie van tuba Eustachii
left crus of diaphragm	linker crus van diafragma
allergic contact dermatitis caused by footwear	allergisch contacteczeem door schoeisel
entire endocervical connective tissue	geheel bindweefsel van endocervix
grouping culture typing procedure, precipitin method	groepering kweektyperingsprocedure, precipitinemethode
scar of skin	litteken van huid
sciatic nerve palsy	paralyse van nervus ischiadicus
fluoroscopic angiography of thoracic aorta using contrast with insertion of stent	contrastangiografie van pars thoracica aortae met plaatsing van stent onder röntgendoorlichting
brain meningeal space	structuur van meningeale ruimte van hersenen
structure of inferior part of scrotum	onderste gedeelte van scrotum
revision of trabeculectomy	revisie van trabeculectomie
lanugo	lanugo
stereotactic radiosurgery of intracranial arteriovenous malformation	stereotactische radiochirurgie van intracraniële vaatkluwen
pityriasis versicolor	pityriasis versicolor
reusable first aid kit, non-medicated	herbruikbare eerstehulpset zonder medicatie
pain due to neoplastic disease	pijn door neoplasma
abscess of right lower eyelid	abces van onderste ooglid van rechter oog
structure of triangular fibrocartilage of right wrist	structuur van triangulair fibrocartilago van rechter pols
deep biopsy of soft tissue of wrist	diepe biopsie van weke delen van polsgebied
dietary carbohydrate/fat absorption inhibitor	dieetproduct voor remming van koolhydraatabsorptie en vetresorptie
entire frontolacrimal suture of skull	gehele sutura frontolacrimalis
accessory nerve oesophageal branch	oesofagale tak van nervus accessorius
hematology clinic	hematologiecentrum
asymmetric proximal motor neuropathy with diabetes mellitus	asymmetrische proximale motorische neuropathie gelijktijdig met en door diabetes mellitus
1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine (MPTP)-induced parkinsonism	parkinsonisme door 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine [MPTP]
structure of right sacroiliac joint	rechter articulatio sacroiliaca
congenital anomaly of adrenal gland	Congenitale anomalie van bijnier
physocephalus	genus Physocephalus
intestinal obstruction in newborn due to guanylate cyclase 2C deficiency	intestinale obstructie bij neonaat door gyanylaatcyclase-2C-deficiëntie
allergy to clobetasol	allergie voor clobetasol
