gastric aspirate present	ventrikelaspirat påvist
retroperitoneum destructive procedure	Destruktivt indgreb på retroperitoneum
trendelenburg's sign	Trendelenburgs tegn
VATER syndrome	VATER-syndrom
n-Acylneuraminate-9-phosphate synthase	N-acylneuraminat-9-phosphatsynthase
entire right thorax	højre thoraxdel som helhed
alloscardovia omnicolens	Alloscardovia omnicolens
prednisolone 5mg suppository	predinsolon suppositorium a 5 mg
multiple anal cryptectomy	ektomi af multiple analkrypter
hepatitis B screening required	screening for hepatitis B bestilt
benign neoplasm of tracheobronchial lymph nodes	Benignt neoplasme i trakeobronkiale lymfeknuder
class in postnatal exercises	kursus i postnatale øvelser
granular	granulær
tinea caused by Trichophyton quinckeanum	Tinea forårsaget af Trichophyton quinckeanum
laceration of oesophagus	laceration af oesophagus
ehrlichia species	Ehrlichia-art
lung function restrictive	lungefunktion begrænset
impairment level: near-total impairment of both eyes	Næsten total synsnedsættelse på begge øjne
oncology domiciliary visit requested	onkologisk hjemmebesøg bestilt
aneurysmal diameter distention	diameter af aneurismal dilatation
triazole antifungals allergy	allergi over for triazol-antimykotika
prostatotomy by transurethral approach	Prostatotomi ved transuretral adgang
intentional 5-HT3-receptor antagonist overdose	tilsigtet overdosis af 5-HT3-receptor-antagonist
gingivostomatitis	Gingivostomatitis
ankle reflex absent	manglende ankelrefleks
thermodesulforhabdus	Thermodesulforhabdus
chlorpheniramine + pyrilamine + phenylephrine	chlorpheniramin + pyrilamin + phenylephrin
linezolid 400 mg oral tablet	linezolid 400 mg tablet
glossopharyngeal motor nucleus	motorisk nucleus for nervus glossopharyngeus
environmental finding	fund vedr. miljø
examination of joint of foot	Undersøgelse af fodled
emotional problems	Følelsesmæssige problemer
salmonella IIIb 60:z52:z35	Salmonella IIIb 60:z52:z35
deficiency of methenyltetrahydrofolate cyclohydrolase	methenyltetrahydrofolat-cyklohydrolasemangel
surgical ductal margin uninvolved by in situ carcinoma	duktal resektionsrand uden involvering af carcinoma in situ
4th hepatitis B vaccination	4. vaccination mod hepatitis B
mitral valve dysplasia	Mitralklapdysplasi
posterior rhinolalia clausa	posterior rhinolalia clausa
radiologic imaging which is special views and positions	radiologisk billeddannelse med specielle projektioner og positioner
head AND/OR neck deep third degree burn of face	hoved OG/ELLER hals dyb tredjegradsforbrænding af ansigt
crisantaspase	crisantaspase
butenafine hydrochloride 1% cream	butenafinhydrochlorid 1 % creme
eclampsia unspecified	uspecificeret Eklampsi
serratia odorifera	Serratia odorifera
penicillin g benzathine 150000iu/penicillin g procaine 150000iu powder for injection solution vial	hætteglas benzylpenicillin, benzathin 150.000 IE/benzylpenicillin, procain 150.000 IE pulver til injektionsvæske, opløsning
structure of medulla oblongata lateral nucleus	struktur af lateral nucleus i medulla oblongata
human placental lactogen level normal	niveau af humant placentalt lactogen normalt
patient aware of caregiver's feelings about dying	Patienten er klar over støttepersons følelser om det at dø
obstetric air pulmonary embolism with postnatal complication	Obstetrisk luft-/lungeemboli med postnatal komplikation
normal ventilation-perfusion ratio	Normal ventilation-perfusion-ratio
occasional	lejlighedsvis
tripping or stumbling fall on same level from slipping	benspænd eller snublen fald på samme niveau forårsaget af glidning
lower oesophageal sphincter pressure	Nedre øsofagealsfinkter-tryk
history of aneurysm	sygehistorie: aneurisme
heavy metal nephropathy	Nephropathia forårsaget af tungmetal
benign neoplasm of pancreas which is excluding islets of Langerhans	ikke nærmere specificeret benignt neoplasme i pancreas uden for de langerhanske øer
childhood and adolescent disturbance with elective mutism	forstyrrelse i barndom eller ungdom med elektiv mutisme
digit of hand structure	struktur af finger
cuboideonavicular joint	articulatio cuboideonavicularis
anastomosis of small intestine to rectal stump	anlæggelse af anastomose mellem tyndtarm og rektumstump
anteroposterior right lateral decubitus	anteroposterior højrerelateral decubitus
avulsion of floor of mouth	Avulsion af mundbunden
trenbolone acetate	trenbolonacetat
puerperal peritonitis	ikke nærmere specificeret Puerperal peritonit
entire intercarpal interosseous ligament	interkarpalt interossøst ligament som helhed
fitting and dispensing of contact lens prescription	tilpasning og udlevering af kontaktlinse Ordination
toxic erythema	Toksisk erytem
of axilla insect bite, nonvenomous	ugiftigt insektbid på aksil
esophoria	esofori
palingraphia	palingrafi
glucose	Glucose
endarterectomy of external carotid artery	Endarterektomi af arteria carotis externa
disarticulation - action	Eksartikulation  handling
^40^Potassium	^40^kalium
spinal acupuncture T6	spinalt akupunkturpunkt T6
ergotoxine	ergotoxin
acute pulmonary insufficiency following nonthoracic surgery	akut lungeinsufficiens efter ekstratorakal kirurgi
not examined for	ikke undersøgt for
other chemists	andre kemikere
retroverted incarcerated gravid uterus - delivered with postnatal complication	barn født med postnatal komplikation inkarceration af bagoverbøjet gravid uterus
air-conditioner	airconditionanlæg
malignant neoplasm of other part of brain	ikke nærmere specificeret Malignt neoplasme i anden del af hjernen
myelopoietic tissue	myelopoietisk væv
dexrazoxane hydrochloride 500mg/vial powder	dexrazoxanhydrochlorid 500 mg hætteglas pulver
upper respiratory tract structure	struktur af øvre luftveje
relationships	forhold
third degree burn of maxillary vestibule	Tredjegradsforbrænding i vestibulum maxillae
carcinoma in situ of salivary gland	Carcinoma in situ i spytkirtel
unspecified spina bifida with hydrocephalus	Uspecificeret spina bifida med hydrocephalus
entire vocalis muscle	musculus vocalis som helhed
structure of subcallosal gyrus	struktur af gyrus subcallosus
infection by Myxobolus	infektion med Myxobolus
globocephalus urosubulatus	Globocephalus urosubulatus
methyl salicylate	methylsalicylat
history of left cataract extraction	sygehistorie: ekstraktion af katarakt på venstre øje
exclusion of segment of ileum	eksklusion af ileumsegment
cephalosporin antibacterial	cephalosporiner
somatisation disorder	somatiseringstilstand
accidental cinchocaine poisoning	accidentel forgiftning med cinchocain
spironolactone 25 mg oral tablet	spironolacton 25 mg tablet
femorofemoral venous crossover shunt	femorofemoral venøs crossover-shunt
cerebrospinal fluid pressure	Cerebrospinalvæsketryk
radical subtotal pancreatectomy rodney Smith operation	radikal subtotal pankreatektomi Rodney Smith operation
neuroplasty of nerve of hand	Neuroplastik af nerve i hånd
parenteral ephedrine	ephedrin til parenteral anvendelse
early systolic murmur	Tidlig systolisk mislyd
observation regularity of infant feeding	Observation vedr. regelmæssighed af  madning af spædbarn
first low dose diphtheria and tetanus vaccination	lav dosis 1. vaccination mod stivkrampe og difteri
has community mental health team key worker	Har kontaktperson fra lokalt psykiatriteam
acinetobacter lwoffii	Acinetobacter lwoffii
promethazine hydrochloride 12.5 mg oral tablet	promethazinhydrochlorid 12,5 mg tablet
benign neoplasm of postcricoid region	Benignt neoplasme i postkrikoide region
amphimerus elongatus	Amphimerus elongatus
lymphoma involves muscular wall AND/OR subserosa	lymfom med involvering af muskelvæg OG/ELLER subserosa
capsule of radioulnar joint	kapsel i radioulnarled
vindesine overdose of undetermined intent	uvist med hvilken hensigt overdosis af vindesin
budgerigar serum proteins specific IgE antibody measurement	bestemmelse af allergenspecifikt IgE mod ædelpapegøjeserumproteiner
tiotropium 18micrograms inhalation capsule	kapsel tiotropium 18 µg inhalationspulver
tissue cassette	vævskassette
flush ligation of inferior mesenteric artery	flugtende underbinding af arteria mesenterica inferior
infected corneal abrasion	Inficeret corneaabrasion
meglitinide	meglitinid
benign hypertensive heart disease without congestive heart failure	Benign hypertensiv hjertesygdom uden kongestiv hjerteinsufficiens
congenital mydriasis	Kongenit mydriasis
moricizine hydrochloride 200mg tablet	moricizinhydrochlorid 200 mg tablet
specimen from uvea obtained by complete exenteration of eye	prøve fra tunica vasculosa bulbi indhentet ved total eksenteration af øje
colitis cystica	Colitis cystica
GB15	GB15
streptomyces avellaneus	Streptomyces avellaneus
biopsy of lesion of vagina	Biopsi af morfologisk forandring i vagina
transplantation of testis	transplantation af testis
salmonella II 1,9,12,46,27:a:z6	Salmonella II 1,9,12,46,27:a:z6
brodmann area	Brodmann-area
excessive glucagon secretion	Kraftig glukagonsekretion
fitting of prosthetic upper limb device	tilpasning af protetisk udstyr i overekstremitet
rubritepida flocculans	Rubritepida flocculans
entire anterior tibiotalar part of medial ligament of talocrural joint	anteriore tibiotalare del som helhed af ligamentum mediale i talokruralled
brawl and rape homicide and assault by fight	klammeri og voldtægt Manddrab og forsætligt påført legemsbeskadigelse efter slagsmål
cardiovascular event	kardiovaskulær hændelse
absence seizure with impairment of consciousness only	absence-anfald med bevidsthedssvækkelse alene
hydrochlorothiazide + valsartan 25mg/320mg tablet	hydrochlorthiazid 25 mg + valsartan 320 mg tablet
fallopian insufflation - saline	Insufflering af saltvand i tuba uterina
isoniazid	isoniazid
nonorganic insomnia	Ikke-organisk insomni
hilus cell tumor	hilumcellehyperplasi
social therapy management	styring af socialterapi
chapping of lips	Sprukne læber
structure of lobe of lung	struktur af lungelap
accidental strangulation on clothing caught in machinery	der sidder fastklemt i maskine accidentel kvælning som følge af tøj
driving automobile	Køre bil
symptoms and signs involving appearance and behaviour	Symptomer og tegn med involvering af udseende og adfærd
intra-arterial infusion of antineoplastic agent	intraarteriel infusion af antineoplastisk middel
psychological finding	fund vedr. psyke
sennoside	sennosid
uses contraceptive sponge	bruger svangerskabsforebyggende svamp
manipulation of abdominal tissue	Manipulation af abdominalt væv
submucous plexus	struktur af plexus submucosus
strain M4	stamme M4
cannabidiol	Cannabidiol
halomonas halodenitrificans	Halomonas halodenitrificans
cataracta brunescens	Cataracta brunescens
anesthesia for percutaneous liver biopsy	anæstesi mhp. perkutan leverbiopsi
abdominal proctopexy frickman operation	abdominal proktopeksi Frickmans operation
piatan	Piatan
structure of uterine venous plexus	struktur af plexus venosus uterinus
regression through acting in	regression gennem indadrettet handling
removal of eyes from cadaver	Udtagning af øjne fra kadaver
entoloma lividus	Entoloma lividus
pancreas calculus removed	fjernelse af konkrement i pancreas
entire interlobar surfaces of lung	interlobære lungeoverflader som helhed
thyroid region sprain	ikke nærmere specificeret Forvridning i thyroidearegionen
dilated pinhole test	dilateret pinhole-test
factor VIII C: Ag assay	analyse af faktor VIII C: Ag
third pertussis immunization	3. kighostevaccination
small vessel invasion by tumour present	tumorindvækst i små kar påvist
accidental droperidol overdose	accidentel overdosis af droperidol
past pointing	Forbipegning
finding of use of imagination	fund vedr. brug af fantasi
urinary bladder structure	struktur af urinblæren
pancreatic oncofoetal antigen assay	analyse for pankreatisk onkoføtalt antigen
frontometaphyseal dysplasia	Frontometafyseal dysplasi
open fracture subluxation of subtalar joint	Åben fraktur med subluksation af subtalarled
antileishmanial drug	antileishmaniamiddel
sporocytophaga	Sporocytophaga
fluoroscopic angiography of graft using contrast with insertion of stent	angiografi vha. røntgengennemlysning af graft vha. kontrast med indsættelse af stent
anarthria	Anartri
pM1a: Distant metastasis	pM1a: Fjernmetastase
health of the Nation Outcome Scale item 1 - aggressive/disruptive behavior	Health of the Nation Outcome Scale item 1 - aggressive/disruptive behavior
other therapeutic endoscopic operations on ampulla of Vater	Andre terapeutiske endoskopiske operationer på ampulla hepatopancreatica
congenital thickening of femur	Kongenit fortykkelse af femur
alcohol dehydrogenase	Alkoholdehydrogenase
intentional etacrynic acid overdose	tilsigtet overdosis af etacrynsyre
predominate	dominerende
muscle tension pain	Muskelspændingssmerter
demodex	Demodex
delayed hemolytic transfusion reaction	Forsinket hæmolytisk transfusionsreaktion
entire internal cerebral vein	vena cerebri interna som helhed
injury of mastoid	traumatisk læsion af processus mastoideus
dependent patient	afhængig patient
closed fracture subluxation of multiple metatarsophalangeal joints	Lukket fraktur med subluksation af flere metatarsofalangealled
coating of oral mucosa	belægning på mundslimhinden
thioalkalimicrobium cyclicum	Thioalkalimicrobium cyclicum
malakoplakia of stomach	Malakoplaki i mavesækken
cardiac telemetry	kardiel telemetri
difficulty using public recreational facilities	besvær med at anvende offentlige fritidsfaciliteter
acquired body structure	erhvervet legemsstruktur
sperm-cervical mucus capillary tube test	kapillærrørstest af spermatozo/cervixslim-interaktion
pericardial finding	Fund vedr. perikardiet
ability to control position	Evne til at kontrollere stilling
genetic translation	Genetisk  translation
frostbite with tissue necrosis of ankle and foot	forfrysning med vævsnekrose i ankel og fod
war injury due to explosion of breech block	krigsskadelæsion forårsaget af eksplosion af bagstykke
acute osteomyelitis of temporal bone	Akut osteomyelit i tindingeben
postneonatal death	Postneonatalt dødsfald
pseudouridine kinase	Pseudouridinkinase
tannery production worker	garveriproduktionsarbejder
n-Acylglucosamine 2-epimerase	N-acylglucosamin-2-epimerase
endocardial fibroelastosis	endokardiel fibroelastose
mechanical malfunction of biventricular automatic implantable cardioverter defibrillator	mekanisk funktionsfejl i biventrikulær automatisk implantérbar kardioverter-defibrillator
revision of continent urinary reservoir	Revision af kontinent urinreservoir
squamous cell papilloma	planocellulært papillom
mulberry heart disease	Mulberry heart disease
regular fetal heart rhythm	regelmæssig hjerterytme hos foster
orbicularis oculi reflex test	orbicularis oculi reflekstest
repair of pulmonary valve	udbedring af pulmonalklappen
stride long-sitting	skrævende
mesenteric saponification	Mesenterisk forsæbning
abnormal hard tissue formation in pulp	Abnorm dannelse af hårdt væv i pulpa
entire subcutaneous tissue of upper lip	overlæbes subkutane væv som helhed
infection - post-abortion	Infektion - efter abort
salmonella deckstein	Salmonella Deckstein
appearance of liver	Leverens udseende
corynebacterium pseudogenitalium	Corynebacterium pseudogenitalium
chip fracture	chip-fraktur
ski	ski
entire hair of extremity	hår som helhed på ekstremitet
initial risk drug assessment	initial vurdering af risikolægemiddel
structure of sympathetic plexus of vas deferens	struktur af sympatisk pleksus i ductus deferens
pathological dislocation of radial head	patologisk luksation af caput radii
hyperextension injury of thumb	hyperekstensionslæsion af tommelfinger
reopening scars	Åbner ar igen
delta beta^0^ Thalassaemia	delta-beta^0^-talassæmi
finding of appearance of nail	Fund vedr. negls udseende
pT4a: Tumor directly invades other organs or structures	pT4a: tumor med direkte indvækst i andre organer eller strukturer
quinidine bisulfate 250mg m/r tablet	quinidinbisulfat tablet med modificeret udløsning 250 mg
pipecolic acidaemia	pipekolsyreæmi
citalopram hydrobromide 10mg/5mL solution	citalopramhydrobromid 10 mg/5 ml opløsning
threonine-tRNA ligase	Threonin-tRNA-ligase
abitol	abitol
crushed between ships without accident to watercraft	knust mellem skibe uden skade på søfartøj
accident due to vibration	uheld forårsaget af vibration
finding of thickness of cervix	fund vedr. cervixslimhindens tykkelse
on examination - central cyanosis	objektivt: central cyanose
revision of plastic repair of aortic valve	Revision af plastisk rekonstruktion af aortaklappen
poisoned bite of puff adder	forgiftet bid af pufhugorm
finding related to ability to turn onto side in bed	Fund vedr. evne til at vende sig om på siden i sengen
fracture-dislocation	Fraktur med luksation
dyspareunia - non-psychogenic	ikke-psykogen dyspareuni
bulky uterus	ikke nærmere specificeret Voluminøs uterus
nodular malignant melanoma of skin	Nodulært malignt melanom i huden
grip/pinch	greb
sprain of ligament of tarsometatarsal joint	overstrækning af ligament i tarsometatarsalled
touching the deceased	berøring af den afdøde
hooked clavicle	Kroget clavicula
oblique lie - delivered	barn født skråleje
does not screw on a lid	Skruer ikke et låg på
kick chart status	status for skema til registrering af fosterbevægelser
sorbitol	Sorbitol
seen by community-based nurse	Tilset af sygeplejerske i nærmiljøet
percutaneous arterial device procedure	perkutan arteriel procedure ifm. udstyr
premenstrual swelling	Præmenstruel væskeophobning
allergy to tree pollen	allergi over for træpollen
parvularcula bermudensis	Parvularcula bermudensis
postmortem radiographic imaging	post mortem-røntgenundersøgelse
travel vaccinations	Rejsevaccinationer
endobronchial tube tracheal cuff	trakeal cuff på endobronkial tube
anal Papanicolaou smear positive for malignant neoplasm	analt Papanicolaou-smear positivt for malignt neoplasme
admission by hospital-based midwife	indlæggelse foretaget af jordemoder på hospital
closed spinal fracture with anterior thoracic cord lesion,T7-12	T7-12 Lukket fraktur i brystrygsøjlen med læsion af den anteriore del af medulla
sacral lymphadenopathy	Sakrallymfadenopati
closed reduction of fracture of toe	Lukket reponering af tåfraktur
intracranial transection of trigeminal nerve	Intrakraniel transsektion af nervus trigeminus
zinc gluconate	zinkgluconat
endaural approach	Endaural adgang
other pelvic organ injury with open wound into cavity	ikke nærmere specificeret Anden traumatisk læsion af bækkenorgan med åbent sår ind til bughulen
butamben	butamben
abnormal ability to hear voice	Abnorm evne til at høre tale
muller's ciliary muscle	Müllers musculus ciliaris
measurement of serum amino acid level	måling af aminosyreniveau i serum
city dweller	bybo
excision of abdominal artery	Excision af abdominalarterie
accident caused by fumes from burning PVC in conflagration in public building	uheld forårsaget af dampe fra brændende pvc i storbrand i offentlig bygning
accident caused by forging machine	uheld forårsaget af smedemaskine
on examination - hemianopia	objektivt: hemianopsi
mL/kg/min	ml/kg/min
concussion and oedema of thoracic spinal cord	Hjernerystelse og torakalt rgmarvsødem
maltreatment syndromes	mishandlingssyndromer
increased passive range of cervical spine right lateral flexion	Øget bevægeudslag ved passiv lateral fleksion af halshvirvelsøjlen mod højre
entire mesentery	mesenteriet som helhed
foetal scalp electrode	føtal skalpelektrode
lisfranc foot amputation	Amputatio pedis ad modum Lisfranc
ischaemic lactate test	iskæmisk laktattest
epithelioid cell melanoma	epiteloidcellemelanom
ileal cytologic material	cytologisk materiale fra ileum
amoebobacter	Amoebobacter
open dislocation of sixth cervical vertebra	Åben luksation af 6. halshvirvel
grips using supination of wrist	Griber ved at bruge underarmssupination
nasopharyngeal sarcoidosis	Nasofaryngal sarkoidose
coconut specific IgE antibody measurement	bestemmelse af allergenspecifikt IgE mod kokosnød
desulfosarcina	Desulfosarcina
structure of pancreatic lymph node	Struktur af pancreaslymfeknude
explosion caused by conflagration in caravan	eksplosion forårsaget af storbrand i campingvogn
on examination - Kernig sign negative	objektivt: Kernigs symptom negativt
psychrobacter proteolyticus	Psychrobacter proteolyticus
malignant tumour of vagina	malign tumor i vagina
allergy treatment changed	Allergibehandling ændret
injury of seminal vesicle	traumatisk læsion af vesicula seminalis
pontoneocerebellar hypoplasia	Pontoneocerebellar hypoplasi
placenta offensive odor	Ubehagelig lugt fra placenta
uppers preparer	overlæderklargører
bromine compound agent	bromforbindelsesmiddel
protein binding	Proteinbinding
unit of biological and biochemical measurement	Enhed for biologisk og biomekanisk måling
malignant seminoma of mediastinum	malignt seminom i mediastinum
lumbar spine range of motion	Bevægeudslag i lænderygsøjlen
renal calicectomy	Renal calicektomi
bronchus implantation	implantation i bronkie
sympathomimetic identification	identifikation af sympatomimetikum
syngamus	Syngamus
plasma estradiol measurement	måling af estradiol i plasma
ultrasound doppler flow mapping of artery of lower limb	Doppler-flowundersøgelse af arterie i underekstremitet vha. ultralyd
periostitis of ankle AND/OR foot	Periostit i ankel OG/ELLER fod
thromboarteritis	Tromboarterit
surgical proximal bile duct margin involved by malignant neoplasm	proksimal galdegangsresektionsrand med involvering af malignt neoplasme
chorioptes bovis	Chorioptes bovis
oral cavity finding	fund vedr. mundhulen
chest clear	Normal thoraxauskultation
history of malignant neoplasm of neck	sygehistorie: malignt neoplasme i halsen
acute fulminating appendicitis	Akut fulminant appendicit
vulval varices - non-obstetric	vulvavaricer  ikke-obstetrisk
second stage of labor	Fødslens 2. stadium
damage to pelvic organ or tissues  following abortive pregnancy	efter mislykket graviditet Skade på bækkenorgan eller -væv , ikke nærmere specificeret
carbon monoxide reading at 4 weeks	Carbonmonoxidtal efter 4 uger
suspected neuroblastoma	mistanke om neuroblastom
large intestine	Tyktarmen
arteriovenous cannulation for blood treatment	arteriovenøs kanylering mhp. blodbehandling
structure of right gastroepiploic artery	struktur af højre arteria gastroomentalis
intelligence and security operator - Intelligence Corps	efterretningsofficer - forsvarets efterretningstjeneste
ethyl mercury phosphate	ethylkviksølvphosphat
vagus nerve superior ganglion	ganglion superius nervi vagi
cellulitis of lower limb	cellulit på underekstremitet
neoplasm of lower respiratory tract	Neoplasme i nedre luftveje
size of corticotroph adenoma	størrelse af kortikotroft adenomn
lymphocyte depletion	lymfocyttab
finding related to ability to make bed	fund vedr. evne til at rede seng
ocular open wound	Åbent sår i øjeæble
accidental ingestion of argemone oil	accidentel indtagelse af valmueolie
does not maintain a sitting position	Holder ikke en siddende stilling
bilateral cleft of primary palate	Bilateral spaltning af den anteriore del af den hårde gane
basal cell carcinoma - first recurrence	basalcellekarcinom  1. recidiv
structure of lamina of first thoracic vertebra	struktur af lamina på 1. brysthvirvel
percutaneous embolisation of gastroduodenal artery using fluoroscopic guidance	perkutan embolisering af arteria gastroduodenalis ved anvendelse af røntgengennemlysning
conjugated oestrogens 0.625mg/medroxyprogesterone acetate 2.5mg tablet	konjugerede østrogener, tablet 0,625 mg/medroxyprogesteronacetat 2,5 mg
finding of sex of baby	Fund vedr. barns køn
difficulty running down hill	Besvær med at løbe ned ad bakke
deep third degree burn of trunk	dyb tredjegradsforbrænding på truncus
wechsler adult intelligence scale	Wechsler adult intelligence scale
infected abrasion of face	inficeret abrasion af ansigtet
other congenital digestive system anomaly	anden kongenit fordøjelsessystemanomali
suture of capsule of foot	Suturering af kapsel på fod
cystoduodenostomy	cystoduodenostomi
finding of finger joint stability	fund vedr. stabilitet af fingerled
hyoscine overdose	overdosis af hyoscin
skin closure strips sterile 6mm x 75mm	sterile strips til hudlukning 6 mm x 75 mm
bone structure of distal ulna	Knoglestruktur af distal ulna
nerve transmission block	Nervetransmissionsblok
under care of cardiac surgeon	i behandling hos hjertekirurg
cervix directed forwards	Cervix fremadlejret
saccharibacter	Saccharibacter
finegoldia	Finegoldia
linctus	linctus
width of structure by imaging measurement	bredde af struktur bestemt ved billeddannelsesmåling
thrombectomy of tibioperoneal artery	Trombektomoi af tibioperonealarterie
adenoma of pituitary	pituitært adenom
face ache	Ansigtssmerter
pigmented bowen's disease	pigmenteret Bowens sygdom
full thickness burn of the arm	ikke nærmere specificeret fuldhudsforbrænding på arm
hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 12mm needle 0.33mm/29gauge	steril sprøjte til subkutan injektion af U100-insulin, til engangsbrug/brug på en patient, 0,3 ml med 12 mm kanyle 0,33 mm/29 gauge
left ventricular aneurysm operation	Aneurismeoperation på venstre ventrikel
galantamine 4 mg oral tablet	galantamin tablet 4 mg
miscellaneous topical minor anti-infective	diverse mindre væsentlige antiinfektiøse midler til topikal anvendelse
ainu	ainu
dextran 70	Dextran 70
diagnostic radiography of sacrum	diagnostisk radiografi af sacrum
fixation of palpebral ligament	Fiksering af palpebralt ligament
structure of cubital lymph node	Struktur af kubital lymfeknude
histrionic behaviour	Histrionisk adfærd
overexposure to soft X-rays	overeksponering for bløde røntgenstråler
local anaesthetic auriculotemporal nerve block	lokalanæstetisk blokade af nervus auriculotemporalis
abnormal motivation	Unormal motivation
specimen from heart	prøve fra hjertet
uterine cervix double	dobbelt cervix uteri
checking position of endotracheal tube by auscultation	kontrol af endotrakealtubes position ved auskulation
pastille	pastil
acute hydrops of gallbladder	Akut hydrops af galdeblæren
entire rectosigmoid junction	rektosigmoidal overgang som helhed
knee open crush injury	åben knusningslæsion i knæ
c2/C3 interspinous ligament	ligamentum interspinale mellem C2 og C3
post influenza vaccination encephalitis	encefalit efter influenzavaccination
pyramidal type muscle weakness	kraftnedsættelse i muskel af pyramidal type
rhodospira trueperi	Rhodospira trueperi
diverticulitis of rectum	divertikulit i rectum
clinical stage III	Klinisk stadium III
posterior segment of eye implantation	implantation i bageste segment i øje
visual acuity - left eye	Synsstyrke på venstre øje
unspecified lower limb anomaly	uspecificeret underekstremitetsanomali
lymph node station of involved lymph nodes	lymfeknudestation for involverede lymfeknuder
range of toe abduction	Bevægeudslag ved abduktion af tå
drainage of ascites	Drænage af ascites
metalworking machine-tool mechanic	værktøjsmaskinemekaniker
bladder hemorrhage	blødning i blæren
platelet clump	trombocytklumper
co-careldopa	Co-careldopa
acinetobacter genospecies 16	Acinetobacter genospecies 16
operative procedure on peripheral nerve	Operativt indgreb på perifer nerve
pituitary alpha cell	pituitær alfa-celle
popliteal incision	popliteal incision
contact stomatitis	Kontaktstomatit
infusion care assessment	CAMILLAWD behandling og -pleje?? vurdering af infusionsbehandling
entire superior fascia of perineum	superior fascia som helhed i perineum
decreased fibrinolysis	Nedsat fibrinolyse
ovarian hilar cell hyperplasia	Hilumcellehyperplasi
removal of foreign body from intestine by incision	fjernelse af fremmedlegeme fra tarm ved incision
acute sanguinous otitis media	Akut sangvinøs otitis media
progressive intrahepatic cholestasis	progredierende intrahepatisk kolestase
orthoptic treatment - uniocular penalisation	uniokulær penalisation ortoptisk behandling 
cerebral hemorrhage following injury	ikke nærmere specificeret hjerneblødning efter traumatisk læsion
bone finding	Fund vedr. knogle
bathing area around eye	Badning af område omkring øje
aspergillus nidulans	Aspergillus nidulans
difficulty inferring meaning	Besvær med at udlede betydning
superficial foreign body of elbow without major open wound but infection	men med infektion overfladisk fremmedlegeme i albue uden større åbent sår
special views diagnostic radiography	specielle optagelser diagnostisk radiografi
attention - action	Pasning  handling
structure of gastric surface of spleen	struktur af miltens gastriske overflade
selective beta-1 adrenoceptor stimulants	selektive beta-1-receptor-stimulatorer
status migrainosus	Status migrainosus
poisoning by heavy metal anti-infective	forgiftning med antiinfektiøst tungmetalmiddel
denervation - action	Denervering  handling
transitory neonatal hypoglycaemia	Transitorisk neonatal hypoglykæmi
erythromycin 500 mg oral tablet	erythromycin tablet 500 mg
difficulty imitating forms of communication	Besvær med at imitere kommunikationsformer
entire lactating breast	lakterende mamma som helhed
discharge by rheumatology nurse specialist	udskrivelse foretaget af sygeplejerske med speciale i reumatologi
cerebrospinal fluid: microorganisms seen	cerebrospinalvæske: mikroorganismer observeret
increased fibrinolysis	Forhøjet fibrinolyse
vulval hematoma in labor	vulvahæmatom under fødsel
2-Dehydro-3-deoxyglucarate aldolase	2-Dehydro-3-deoxyglucarataldolase
helicobacter canadensis	Helicobacter canadensis
RBC acidified serum lysis test	RBC lysistest med surgjort serum
radical resection of tumour of soft tissue of shoulder area	radikal resektion af tumor i bløddel i skulderområde
granulations of mastoid cavity	granulering i mastoidt hulrum
pmol	pmol
carcinoma of pancreas	Karcinom i pancreas
family history of osteopenia	familieanamnese: osteopeni
hearing test right abnormality	abnormt fund ved høreprøve på højre side
caldicellulosiruptor kristjanssonii	Caldicellulosiruptor kristjanssonii
plaque type sarcoidosis	sarkoidose af plaquetype
alimentary tract pain due to vascular insufficiency	Smerte i fordøjelseskanalen forårsaget af vaskulær insufficiens
transection of hymen	transsektion af hymen
tocolysis for hypertonicity of uterus	Tokolyse for uterushypertonicitet
poisoning by secobarbital	forgiftning med secobarbital
bronchial hygiene	luftvejshygiejne
destruction of lesion of retina	ikke nærmere specificeret destruktion af morfologisk forandring i retina
structure of anterior commissure of mitral valve	struktur af anterior kommissur på mitralklappen
degenerative disorder of cartilage	Degenerativ brusksygdom
laparoscopic-assisted left hemicolectomy	Hemicolectomia sinistra laparoscopica
pain in cervical spine	Smerter i halshvirvelsøjlen
congenital myopathy with fibre type disproportion	kongenit myopati med fibertypemisforhold
transient ischaemic dilatation ratio of left ventricular cavity	ratio for forbigående iskæmisk dilatation af venstre ventrikels kavitet
on examination - tongue - no abnormality detected	objektivt: tunge: i.a.
infertility care education	undervisning i infertilitetsbehandling
photocoagulation to retina	Fotokoagulering af retina
fixation of mandible	Fiksering af mandibula
dental veneer too dark	Dental facade for mørk
laceration of floor of mouth	Laceration af mundbunden
acquired portal-systemic shunt due to cirrhosis	Erhvervet portosystemisk shunt forårsaget af nekrose
papilloma of cornea	Papillom i cornea
sensory disturbance	Sensorisk forstyrrelse
2-Oxobutyrate synthase	2-Oxobutyratsynthase
subacute contact mucositis	subakut kontaktmukosit
tendon rupture - shoulder	Seneruptur  skulder
primary malignant neoplasm of frontal lobe	primært malignt neoplasme i frontallappen
aircraft maintenance manager	flyvedligeholdelseschef
salmeterol+fluticasone propionate 50micrograms/250micrograms breath-actuated dry powder inhaler	salmeterol + fluticasonpropionat 50 µg/250 µg indåndingsudløst tørpulverinhalator
